claimId,referenceNumber,supportQuote
CLM-001,1,"Overall, 11 OCPMs were included in our study, involving Fufang Danshen dripping pill (FFDS, 30 RCTs), Danlou tablet (DL, 5 RCTs), Kuanxiong aerosol (KXQW, 1 RCT), Naoxintong capsule (NXT, 10 RCTs), Qiliqiangxin capsule (QLQX, 3 RCTs), Qishen Yiqi dripping pill (QSYQ, 4 RCTs), Shensong Yangxin capsule (SSYX, 15 RCTs), Shexiang Baoxin pill (SXBX, 67 RCTs), Suxiao Jiuxin pill (SXJX, 6 RCTs), Tongxinluo capsule (TXL, 47 RCTs), and Xuefu Zhuyu capsule (XFZY, 2 RCTs)"
CLM-002,1,"Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (98.12%), followed by SXJX + WM (71.04%) and TXL + WM (68.40%), whereas WM alone obtained the worst effect (3.09%)."
CLM-003,1,"Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (94.21%), followed by SXJX + WM (73.80%) and KXQW + WM (56.70%), whereas WM alone obtained the worst effect (5.63%)."
CLM-004,1,"Eight interventions were involved in the evaluation of the weekly frequency of angina, including FFDS + WM, KXQW + WM, NXT + WM, QLQX + WM, SSYX + WM, SXBX + WM, TXL + WM, and WM. … According to the ranking probability of each level and SUCRA, QLQX + WM had the highest effective rate in reducing the weekly frequency of angina (100.00%), followed by FFDS + WM (72.62%) and SXBX + WM (62.29%)."
CLM-005,1,"There were eight separate treatment nodes in the network geometry for the duration of the angina attack, including FFDS + WM, KXQW + WM, NXT + WM, QLQX + WM, SSYX + WM, SXBX + WM, TXL + WM, and WM. … According to the ranking probability of each level and SUCRA, KXQW + WM ranked first (95.71%), followed by SXBX + WM (71.60%) and QLQX + WM (50.19%), whereas WM alone obtained the worst effect (6.74%)."
CLM-006,1,"The decrease in cardiovascular events rate was statistically significant for SXBX + WM as compared with WM alone, while no significant association was found within other interventions."
CLM-007,1,"Of the selected RCTs, 53 trials reported specific randomization methods, including 48 trials using simple random number tables, three trials performing central randomization, one RCT implementing block randomization, and one RCT using stratified randomization. Four studies reported allocation concealment, which was rated “low risk” in the “randomization process” (2.2%). … Overall, the trials included in this network meta-analysis were rated as “some concerns”."
CLM-008,1,"The results of global inconsistency did not indicate any significant difference for each of the two outcomes ( p = 0.077 and p = 0.081 for effective clinical rate and effective rate in ECG, respectively). The detection of the node-splitting model suggested that only three comparisons for effective clinical rate and two for effective rate in ECG presented significant differences between direct and indirect comparisons."
CLM-009,1,"Among 1,951 SXBX + WM-treated patients, the incidences of mild abdominal discomfort, dizziness/headache, numbness of tongue and lips, rash, and mild chest discomfort, were 2.67%, 2.41%, 0.56%, 0.56%, and 0.67%, respectively, with the total adverse reaction rate of 6.87%. In 81 patients treated with SXJX + WM, the incidences of mild abdominal discomfort, dizziness/headache, rash, and mild chest discomfort, were 2.47%, 17.28%, 7.41%, and 8.64%, separately, with a total adverse reaction rate of 35.80%."
CLM-010,1,"Additionally, QSYQ + WM improved its clinical effectiveness rate compared with SSYX + WM, SXBX + WM, TXL + WM, XFZY + WM, QLQX + WM, NXT + WM, FFDS + WM, and DL + WM."
CLM-011,9,"Compared to the placebo group, the SJPs group showed a significant improvement in the efficacy rate after 4 weeks (OR = 2.43, 95% CI = 1.32 to 4.47, P = 0.004)."
CLM-012,9,"Patients aged 30 to 70 years with a diagnosis of chronic coronary syndrome were enrolled who were intolerant to side effects of long-acting nitrates. The patients were clinically stable, had a Canadian Cardiovascular Society (CCS) Angina Severity Classification of I to III"
CLM-013,9,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982 … The pill is composed of Ligusticum striatum DC. (WFO accession number: wfo-0000362231, family Apiaceae, Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. (WFO accession number: wfo-0000657511, family Dipterocarpaceae, Borneolum syntheticum)"
CLM-014,10,"During the treatment period, eligible patients will be given SJP or placebo pills and they will have to take 5 pills of the study medication three times daily. SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA]). … Each pill weighs 40 mg."
