claimId,referenceNumber,supportQuote,sourceTitle,accessLevel
CLM-001,9,Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.,Chest pain - NHS,official_page
CLM-002,9,Your symptoms might give you an idea of the cause. Do not self-diagnose – see a GP if you're worried.,Chest pain - NHS,official_page
CLM-003,9,angina or a heart attack – which have similar symptoms but a heart attack is life-threatening,Chest pain - NHS,official_page
CLM-004,8,"The study populations included cohorts in the China-PAR project, with 34,757 participants eligible for the current analysis. … A total of 1922 ASCVD events were identified during an average follow-up of 14.1 years.",Risk stratification of atherosclerotic cardiovascular disease in Chinese adults,full_text
CLM-005,8,the observed 10-year risks for ASCVD among all subjects were 4.61% (95% CI : 4.11–5.10%) in the moderate-risk group and 8.74% (95% CI : 7.82–9.66%) in the high-risk group,Risk stratification of atherosclerotic cardiovascular disease in Chinese adults,full_text
CLM-006,8,"ASCVD was defined as nonfatal acute myocardial infarction (MI), or CHD death, or fatal or nonfatal stroke.",Risk stratification of atherosclerotic cardiovascular disease in Chinese adults,full_text
CLM-007,10,"Early administration (median 1.6 hours or pre-hospital) was associated with increased survival as compared with late administration (median 3.5 hours or in-hospital) at seven days; risk ratio (RR) 1.04 (95% CI 1.03-1.06), 30 days RR 1.05 (95% 1.02-1.07), and one-year RR 1.06 (95% CI1.03-1.10). The evidence is of very low certainty due to limitations in study design and the imprecision of the evidence.",Early or First Aid Administration Versus Late or In-hospital Administration of Aspirin for Non-traumatic Adult Chest Pain: A Systematic Review,full_text
CLM-008,10,"the Second International Study of Infarct Survival (ISIS-2) study enrolling 8587 subjects with acute MI found no benefit from aspirin administration (162.5 mg, enteric-coated) within two hours of the onset of symptoms compared with late administration (91.2% versus 90.5% (RR, 1.01; 95% CI, 0.99-1.03))",Early or First Aid Administration Versus Late or In-hospital Administration of Aspirin for Non-traumatic Adult Chest Pain: A Systematic Review,full_text
CLM-009,10,"From 1470 references, we included three studies (one randomized controlled trial (RCT) and two non-RCTs). … there were no studies using undifferentiated chest pain as the target population",Early or First Aid Administration Versus Late or In-hospital Administration of Aspirin for Non-traumatic Adult Chest Pain: A Systematic Review,full_text
CLM-010,11,"units assigned to CPR plus AED training had more survivors to hospital discharge (30/128 arrests) than units assigned to CPR-only training (15/107 arrests; relative risk 2.0, 95% CI 1.07–3.77; p = 0.03), although only two survivors occurred in residential complexes",Out-of-Hospital Cardiac Arrest: Public-Access Defibrillation and System Approaches to Minimize Avoidable Delay,full_text
CLM-011,11,In a binational Denmark–Sweden cohort ( n = 1271; 81% occurring at home),Out-of-Hospital Cardiac Arrest: Public-Access Defibrillation and System Approaches to Minimize Avoidable Delay,full_text
CLM-012,6,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … Compared to the placebo group, the SJPs group showed a significant improvement in the efficacy rate after 4 weeks (OR = 2.43, 95% CI = 1.32 to 4.47, P = 0.004).","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",full_text
CLM-013,6,"approved by China Food and Drug Administration (CFDA) in 1982 … According to the Chinese Pharmacopoeia, each pill of SJPs is required to contain a minimum of 15.0 μg of Ligusticum chuanxiong, expressed in terms of ferulic acid (C 10 H 10 O 4 ), and 2.9 to 4.4 mg of Borneolum syntheticum, expressed in terms of Borneol (C 10 H 18 O).","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",full_text
CLM-014,5,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome).,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",full_text
CLM-015,5,"SJP has been commonly used in the treatment of angina pectoris with integrated Chinese and Western medicine, and these participants have also been diagnosed with Qi stagnation and blood stasis syndrome","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",full_text
CLM-016,7,"a 6-month treatment with Suxiao Jiuxin Pills (comprising Chuanxiong Rhizoma and borneol) in ACS patients post-PCI was associated with a significant reduction in 1-year MACEs (p < 0.05, odds ratio 1.916), alongside improvements in left ventricular ejection fraction (LVEF) and symptoms","Exploring the Complementary Role of Traditional Chinese Medicine in Enhancing Percutaneous Coronary Intervention Outcomes: Mechanisms, Benefits, and Future Research Directions",full_text
CLM-017,12,Aspirin (acetylsalicylic acid) could retain active drug for up to 40 years after expiration.,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,full_text
CLM-018,5,The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome).,Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol,full_text
CLM-019,9,You're more likely to have heart problems if you're older or are at risk of coronary heart disease,Chest pain - NHS,official_page
CLM-021,5,"A patient must have the main symptom and one of the secondary symptoms, in accordance with the tongue and pulse conditions, to be diagnosed with Qi stagnation and blood stasis syndrome","Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",full_text
CLM-022,12,Given the recommendation to chew 160–325 mg of ASA during an acute myocardial infarction,The use of expired resuscitation medications for life-threatening first aid conditions: a systematic search and narrative review,full_text
CLM-023,6,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982",Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates,full_text
