claimId,referenceNumber,supportQuote,sourceTitle,identifier,accessLevel
CLM-001,2,"In total, 58.7% of all chest presentations across 3 years resulted in a non-cardiac diagnosis of either ‘anxiety’, ‘panic’ or ‘chest pain of unknown cause’.",The prevalence of non-cardiac chest pain (NCCP) using emergency department (ED) data: a Northern Ireland based study,PMC5550987 PMID:28793910,full_text
CLM-002,2,"a large proportion of patients presenting at ED with ‘chest pains’ were subsequently given a non-cardiac diagnosis: anxiety (1.6%), panic (0.6%), or NCCP (38%).",The prevalence of non-cardiac chest pain (NCCP) using emergency department (ED) data: a Northern Ireland based study,PMC5550987 PMID:28793910,full_text
CLM-003,3,As many as 44% of patients with UCP experience panic attacks in the month prior to ED consultation. … more than 92% of cases of PLA remain undiagnosed at the time of discharge from ED.,A prospective cohort study to refine and validate the Panic Screening Score for identifying panic attacks associated with unexplained chest pain in the emergency department,PMC3808760 PMID:24163208,full_text
CLM-004,4,"20 eligible articles were finally selected … This meta-analysis enrolled 3164 patients with CAD, including 902 patients with MSIMI, and 2262 patients without MSIMI. … the pooled estimate for the prevalence of MSIMI in CAD patients is 32% (95% CI 0.26, 0.38)","A meta-analysis on the prevalence, associated factors and diagnostic methods of mental stress induced myocardial ischemia",PMC7257246 PMID:32471451,full_text
CLM-005,5,"In 281 (1.26%), chest pain was a reason for consulting the GP … most final diagnoses were of musculoskeletal origin (33.1% of cases), followed by psychological complaints including hyperventilation syndrome (17.1%) and gastro-intestinal disease (13.2%) … Final diagnoses were considered life-threatening in 22/263 cases where final diagnoses were registered (8.4%).","Frequency of chest pain in primary care, diagnostic tests performed and final diagnoses.",DOI:10.1136/heartjnl-2016-310905,full_text
CLM-006,6,"270 patients were enrolled. Nitroglycerin relieved chest pain in 66% of the subjects. The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%). The positive likelihood ratio … was 1.1 (0.96–1.34).","Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",DOI:10.1017/s1481803500013671,full_text
CLM-007,6,Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",DOI:10.1017/s1481803500013671,full_text
CLM-008,7,"278 were included … anxiety (OR 2.9 (95% CI 1.1 –8.1, p=0.031)) were more frequent in women when presenting in the ED.","Recognizing supraventricular tachyarrhythmias in female patients: beyond palpitations to symptoms like anxiety, panic, and nausea.",DOI:10.3389/fpsyt.2026.1858764,full_text
CLM-009,8,"A total of 939 patients were included. An emotional trigger was detected in 340 patients (36.2%), a physical trigger in 293 patients (31.2%), and none could be identified in 306 patients (32.6%).",Short‐ and Long‐Term Prognosis of Patients With Takotsubo Syndrome Based on Different Triggers: Importance of the Physical Nature,PMC6951081 PMID:31830875,full_text
CLM-010,9,"Pain, pressure, tightness, or discomfort in the chest, shoulders, arms, neck, back, upper abdomen, or jaw, as well as shortness of breath and fatigue should all be considered anginal equivalents.",2021 Guideline for the Evaluation and Diagnosis of Chest Pain - Professional Heart Daily | American Heart Association,AHA 2021 Chest Pain Guideline,official_page
CLM-011,10,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away … you have chest pain and you feel sweaty, sick, light headed or short of breath",Chest pain - NHS,NHS Chest pain page,official_page
CLM-012,4,"As many as 44% of patients with UCP experience panic attacks in the month prior to ED consultation. || the pooled estimate for the prevalence of MSIMI in CAD patients is 32% (95% CI 0.26, 0.38) || An emotional trigger was detected in 340 patients (36.2%), a physical trigger in 293 patients (31.2%), and none could be identified in 306 patients (32.6%).",（多源综合）,,
