1	4	8
1	29	8
1	12	8
1	7	8
1	17	8
1	33	8
1	6	7
1	18	7
1	11	7
1	38	7
1	3	7
1	24	7
1	14	6
1	39	5
1	10	5
1	19	4
1	34	4
1	25	4
1	15	3
1	36	3
1	5	2
1	30	2
1	21	2
1	8	2
1	35	2
1	26	2
1	37	2
1	2	2
1	22	2
1	9	2
1	28	2
1	20	2
1	27	1
1	16	1
1	31	1
1	13	1
2	33	2
2	12	2
2	17	2
2	22	2
2	4	2
2	7	2
2	29	2
2	6	2
2	19	2
2	3	1
2	28	1
2	9	1
2	14	1
2	16	1
2	27	1
2	20	1
2	13	1
2	10	1
2	15	1
2	30	1
3	14	9
3	4	8
3	12	8
3	29	8
3	7	8
3	33	8
3	17	6
3	10	6
3	38	6
3	11	6
3	18	6
3	24	6
3	39	5
3	6	5
3	20	4
3	19	4
3	34	4
3	25	4
3	13	3
3	37	3
3	15	3
3	26	3
3	32	2
3	30	2
3	5	2
3	35	2
3	36	2
3	27	2
3	21	1
3	8	1
3	9	1
3	28	1
3	22	1
3	31	1
3	16	1
3	23	1
4	7	8
4	12	8
4	29	8
4	33	8
4	17	7
4	14	7
4	10	6
4	6	6
4	38	6
4	11	6
4	18	6
4	24	6
4	39	5
4	19	5
4	34	4
4	25	4
4	20	3
4	15	3
4	5	2
4	13	2
4	30	2
4	35	2
4	26	2
4	28	2
4	9	2
4	22	2
4	37	2
4	36	2
4	21	1
4	8	1
4	16	1
4	27	1
4	32	1
5	18	2
5	7	2
5	24	2
5	33	2
5	10	2
5	25	2
5	11	2
5	17	2
5	29	2
5	12	2
5	39	2
5	6	2
5	38	2
5	14	2
5	35	1
5	8	1
5	21	1
5	15	1
5	34	1
5	37	1
5	36	1
6	12	7
6	29	7
6	7	7
6	33	7
6	17	6
6	24	5
6	38	5
6	11	5
6	18	5
6	39	4
6	14	4
6	10	4
6	19	4
6	36	3
6	34	3
6	25	3
6	15	2
6	26	2
6	8	2
6	21	2
6	20	2
6	22	2
6	30	2
6	35	1
6	37	1
6	27	1
6	16	1
6	28	1
6	9	1
6	31	1
6	13	1
7	33	10
7	12	10
7	29	10
7	14	7
7	17	7
7	18	6
7	38	6
7	11	6
7	24	6
7	39	5
7	34	5
7	19	5
7	10	5
7	20	4
7	25	4
7	15	3
7	13	3
7	37	3
7	36	3
7	26	3
7	32	2
7	27	2
7	30	2
7	21	2
7	8	2
7	22	2
7	9	2
7	28	2
7	35	1
7	16	1
7	31	1
8	24	2
8	33	2
8	18	2
8	34	2
8	39	2
8	11	2
8	38	2
8	21	2
8	36	2
8	17	2
8	29	2
8	12	2
8	10	1
8	14	1
8	15	1
8	37	1
8	25	1
8	31	1
9	29	2
9	14	2
9	28	2
9	33	2
9	12	2
9	17	2
9	11	1
9	34	1
9	24	1
9	18	1
9	15	1
9	37	1
9	38	1
9	19	1
9	22	1
9	16	1
9	25	1
10	29	5
10	12	5
10	33	5
10	39	4
10	24	4
10	14	4
10	17	4
10	18	4
10	11	4
10	38	4
10	34	3
10	19	3
10	25	3
10	20	2
10	13	2
10	15	2
10	35	2
10	30	2
10	37	1
10	36	1
10	21	1
10	27	1
10	26	1
10	22	1
10	32	1
11	38	7
11	18	7
11	24	7
11	17	6
11	29	6
11	12	6
11	33	6
11	14	5
11	39	5
11	34	4
11	25	4
11	36	3
11	26	2
11	21	2
11	35	2
11	37	2
11	15	2
11	19	2
11	28	1
11	30	1
11	20	1
11	31	1
12	33	10
12	29	10
12	14	7
12	17	7
12	38	6
12	18	6
12	24	6
12	39	5
12	19	5
12	34	5
12	25	4
12	20	4
12	15	3
12	13	3
12	37	3
12	36	3
12	26	3
12	27	2
12	32	2
12	21	2
12	30	2
12	22	2
12	28	2
12	35	1
12	16	1
12	31	1
13	33	3
13	29	3
13	20	3
13	14	2
13	19	2
13	32	2
13	27	2
13	26	1
13	37	1
13	15	1
13	17	1
13	22	1
13	30	1
13	34	1
13	39	1
14	33	7
14	29	7
14	17	6
14	39	5
14	18	5
14	38	5
14	24	5
14	25	3
14	20	3
14	37	3
14	34	3
14	19	3
14	32	2
14	15	2
14	35	2
14	28	2
14	26	2
14	36	2
14	21	1
14	16	1
14	22	1
14	27	1
14	23	1
15	33	3
15	29	3
15	17	3
15	37	2
15	18	2
15	34	2
15	24	2
