claimId,referenceNumber,supportQuote,sourceTitle,identifier,claimType
CLM-001,3,"Significant triggers included Valsalva maneuvers (OR 3.05, 95% CI: 2.43–3.83, p < 0.001), strenuous exercise (OR 4.38, 95% CI: 3.53–5.45, p < 0.001), sudden change of position (OR 3.34, 95% CI: 2.65–4.21, p < 0.001)…Notably, daytime exposures to both Valsalva maneuvers (OR 1.38, 95% CI: 1.04–1.82, p = 0.024) and strenuous exercise (OR 3.75, 95% CI: 2.72–5.16, p < 0.001) were associated with significantly higher risks compared to nighttime exposures.",Trigger factors of primary cerebral hemorrhage onset: a case-crossover study (Health Sci Rep 2025),PMID:41030662,direct
CLM-002,3,"The study included 1088 ICH patients (mean age 59.6 ± 16.1 years; 632 males [58.1%])…We defined the 0–2 h preceding stroke onset as the trigger phase (primary exposure window for trigger factors), and the preceding 2–24 h as the stable phase.",Trigger factors of primary cerebral hemorrhage onset: a case-crossover study (Health Sci Rep 2025),PMID:41030662,direct
CLM-003,1,"83 239 patients with constipation were matched to 832 384 individuals without constipation…Constipation was also associated with arterial events, including myocardial infarction (1.24, 95% CI 1.14 to 1.35), ischaemic stroke (1.50, 95% CI 1.41 to 1.60), haemorrhagic stroke (1.46, 95% CI 1.26 to 1.69), peripheral artery disease (1.34, 95% CI 1.20 to 1.50), atrial fibrillation or atrial flutter (1.27, 95% CI 1.20 to 1.34) and heart failure (1.52, 95% CI 1.42 to 1.62)…The excess risk of cardiovascular disease was highest during the first year following the diagnosis of constipation, with a 1.5-fold increased risk of myocardial infarction",Constipation and risk of cardiovascular diseases: a Danish population-based matched cohort study (BMJ Open 2020),PMID:32873621,direct
CLM-004,1,"For myocardial infarction (aHR 1.24, 95% CI 1.14 to 1.35), the E-value was 1.79 (E-value for lower limit of 95% CI=1.54).",Constipation and risk of cardiovascular diseases: a Danish population-based matched cohort study (BMJ Open 2020),PMID:32873621,direct
CLM-005,1,"Constipation leads to straining at stool, which has been associated with transient increases in blood pressure.",Constipation and risk of cardiovascular diseases: a Danish population-based matched cohort study (BMJ Open 2020),PMID:32873621,direct
CLM-006,2,"Nine studies involving 283,070 constipation cases and 3,343,120 controls were analyzed. Constipation was associated with a 10% increased CHD risk [hazard ratio (HR] = ).10, 95% confidence interval (CI): 1.05–1.15]…Subgroup analyses revealed a stronger association with myocardial infarction (HR = 1.14, 95% CI: 1.05–1.23)…constipation showed no CHD risk elevation in women (HR = 1.04, 95% CI: 0.98–1.11)…no statistically significant association emerged in cohorts with ≥10 years of surveillance (HR=1.08, 95% CI: 0.97–1.19)",Association between constipation and risk of coronary heart disease: a systematic review and meta-analysis of cohort studies (Front Cardiovasc Med 2025),PMID:41425977,direct
CLM-007,10,"A total of 506 Thai participants (women = 191, men = 315) were interviewed between 2014 and 2017 after sustaining an acute MI…The risk of MI was 3-fold higher (RR = 3.0; 95% CI: 2.2–4.2) within an hour of moderate or heavy physical exertion compared to other times…it was 5.0-fold higher (95% CI: 2.4–10.3, P -homogeneity = 0.17) for those who engaged in physical exertion 5 or fewer times a week.","Immediate risk of myocardial infarction following physical exertion, tea, and coffee: a case-crossover study in Thailand (PLoS One 2019)",PMID:30653616,direct
CLM-008,11,"The PV, VTI and IV of the left heart remained unchanged at the first beat after the Valsalva maneuver onset (compared with those at rest, p >0.1) and then decreased gradually to the lowest at the 11±1.2th beat…Thirty male adult volunteers aged from 20 years to 45 years (mean age, 31±7.7 years) participated in this study…A 40-mmHg VM was carried out by each subject with nose clips using a mask connected to a watch-shaped manometer.",Simultaneous beat-by-beat investigation of the effects of the Valsalva maneuver on left and right ventricular filling and the possible mechanism (PLoS One 2013),PMID:23342040,direct
CLM-009,4,"Methodological limitations, including small sample sizes and inadequate control of confounders, preclude definitive conclusions. … Sakakibara et al. compared abdominal pressure and anorectal angles across three positions—sitting, hip-flex sitting, and squatting—finding that squatting resulted in a straighter recto-anal canal requiring less strain for defecation … Similarly, Sikirov’s research found lower straining effort while squatting compared to sitting positions … Edgar et al.’s study reported that using a footstool reduced defecation time, averaging 55.5 seconds compared to 113.4 seconds in the seated position. Healthy participants reported a strain rating of 1.4 with the footstool versus 2.5 for the seated position",Sitting vs. squatting: a scoping review of toilet postures and associated health outcomes (BMC Public Health 2025),PMID:40604598,direct
CLM-010,4,"Chakrabarti et al. explored the correlation between squatting posture during defecation and stroke incidence in India. They found that 36% of strokes occurred while individuals were in a squatting position, with over half of hemorrhagic strokes occurring in this posture. The study reported significant increases in blood pressure associated with squatting in both healthy individuals and those with hypertension",Sitting vs. squatting: a scoping review of toilet postures and associated health outcomes (BMC Public Health 2025),PMID:40604598,direct
