journal-general	general	The New England Journal of Medicine	新英格兰医学杂志 NEJM
journal-general	general	NEJM Evidence	NEJM Evidence
journal-general	general	The Lancet	柳叶刀 The Lancet
journal-general	general	EClinicalMedicine	eClinicalMedicine（柳叶刀子刊）
journal-general	general	EBioMedicine	eBioMedicine（柳叶刀子刊）
journal-general	general	The Lancet Regional Health - Western Pacific	柳叶刀-区域健康（西太平洋）
journal-general	general	The Lancet Global Health	柳叶刀-全球健康
journal-general	general	The Lancet Public Health	柳叶刀-公共卫生
journal-general	general	JAMA	美国医学会杂志 JAMA
journal-general	general	JAMA Network Open	JAMA Network Open
journal-general	general	JAMA Internal Medicine	JAMA 内科学
journal-general	general	JAMA Health Forum	JAMA Health Forum
journal-general	general	BMJ	英国医学杂志 The BMJ
journal-general	general	BMJ Medicine	BMJ Medicine
journal-general	general	BMJ Open	BMJ Open
journal-general	general	Annals of Internal Medicine	内科学年鉴 Annals of Internal Medicine
journal-general	general	Nature Medicine	自然-医学 Nature Medicine
journal-general	general	Nature	自然 Nature
journal-general	general	Science	科学 Science
journal-general	general	Science Translational Medicine	科学-转化医学
journal-general	general	Cell	细胞 Cell
journal-general	general	Cell Reports Medicine	Cell Reports Medicine
journal-general	general	Med	Med（Cell Press）
journal-general	general	PLoS Medicine	PLOS Medicine
journal-general	general	Canadian Medical Association Journal	加拿大医学会杂志 CMAJ
journal-general	general	The Medical Journal of Australia	澳大利亚医学杂志 MJA
journal-general	general	Nature Communications	自然-通讯
journal-general	general	Proceedings of the National Academy of Sciences	美国国家科学院院刊 PNAS
journal-general	general	eLife	eLife
journal-general	general	Journal of Clinical Investigation	临床研究杂志 JCI
journal-general	general	Mayo Clinic Proceedings	Mayo Clinic Proceedings
journal-general	china-based	Chinese Medical Journal	中华医学杂志英文版 CMJ
journal-general	china-based	Signal Transduction and Targeted Therapy	信号转导与靶向治疗 STTT
journal-general	china-based	Cell Research	细胞研究 Cell Research
journal-general	china-based	National Science Review	国家科学评论 NSR
journal-general	china-based	Science Bulletin	科学通报（英文版）
journal-general	china-based	Military Medical Research	军事医学研究 MMR
journal-general	china-based	The Innovation	The Innovation
