claimId,referenceNumber,supportQuote
CLM-001,1,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982"
CLM-002,1,"Patients aged 30 to 70 years with a diagnosis of chronic coronary syndrome were enrolled who were intolerant to side effects of long-acting nitrates. The patients were clinically stable, had a Canadian Cardiovascular Society (CCS) Angina Severity Classification of I to III, and had received optimal medical treatment with a fixed dosage for at least 2 weeks."
CLM-003,1,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses. … Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement"
CLM-004,1,"participants were prohibited from receiving any other anti-anginal therapy-related concomitant medications, Traditional Chinese Medicine therapies (acupuncture, moxibustion, Tuina, or cupping), as well as revascularization therapies (such as coronary artery bypass graft or percutaneous coronary intervention)."
CLM-005,1,"Antianginal therapies were commonly prescribed aspirin (73.6%), statin (71.3%), and β-Blockers (54.0%)."
CLM-006,1,Participants with CCS and intolerance to the adverse effects of long-acting nitrates were recruited and randomized to either the SJPs or the placebo group for a duration of 4 weeks. … No participants reported experiencing adverse effects.
CLM-007,2,SJP is composed of tetramethylpyrazine and borneol approval number Z12020025 of the China State Food and Drug Administration [SFDA])
CLM-008,2,TCM diagnosis of Qi stagnation and blood stasis syndrome; and
CLM-009,2,Percutaneous coronary intervention or coronary artery bypass grafting or implantation of a pacemaker in the past 3 months;
CLM-010,3,"Forty-one trials involving 6276 patients were included in our analysis. … Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001). … Criteria for inclusion were as follows: (1) a randomized controlled study design, (2) the possibility of extracting accurate clinical data, (3) classifying coronary heart disease based on the updated guidelines of the American Heart Association and American College of Cardiology Foundation [ 21 , 22 ], and (4) reporting ECG results, lipid profiles, and/or hemorheology changes as outcomes."
CLM-011,3,"Fourteen studies reported the incidence of adverse reactions. The most common symptoms were mild headache, dizziness, and facial flushing. … There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-012,10,"A total of 179 randomized controlled trials with 16,789 patients were included. … Suxiao Jiuxin pill (SXJX, 6 RCTs) … Based on the ranking probability of each level and SUCRA, QSYQ + WM had the highest effective rate (98.12%), followed by SXJX + WM (71.04%) and TXL + WM (68.40%), whereas WM alone obtained the worst effect (3.09%)."
CLM-013,10,"In 81 patients treated with SXJX + WM, the incidences of mild abdominal discomfort, dizziness/headache, rash, and mild chest discomfort, were 2.47%, 17.28%, 7.41%, and 8.64%, separately, with a total adverse reaction rate of 35.80%."
CLM-014,11,"A total of 19 eligible trials of 2022 patients with CHD after PCI were finally included. … compared with routine western medicine treatment alone, the combination of SBP with conventional treatment trial groups could significantly reduce the incidence of major adverse cardiac events (MACE) of the patients (RR = 0.38, 95% CI (0.29, 0.51), P < 0.00001)"
CLM-015,12,"Indeed, SJP induced coronary artery relaxation via activation of the eNOS-NO pathway."
CLM-016,19,"you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-017,20,Conclusions: Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.
CLM-018,20,"Results: 270 patients were enrolled. Nitroglycerin relieved chest pain in 66% of the subjects. The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%)."
CLM-019,21,"Patients with a short S2C interval of less than 1 hour (S2C<60 min) had the highest survival benefit from timely reperfusion with PCI within 90 min (OR 0.27, 95% CI 0.23 to 0.31, p<0.0001) … Conclusions Timely reperfusion with a contact-to-balloon time of less than 90 min is most effective in patients presenting with short S2C intervals of less than 1 hour, but has also beneficial effects in patients with S2C intervals of up to 24 hours."
CLM-020,22,a pooled sensitivity of 99.3% (95% confidence interval [CI] 98.5–99.7%) and a pooled specificity of 90.1% (95% CI 80.7–95.2%)
