signal_id,drug,adverse_event,signal_type,metric,value,ci,evidence_access,evidence_id,source,retrieved_at,status,verification_note
RQ14-S01,速效救心丸(含冰片滴丸),超效期毒性损害 (expired drug toxicity),literature_negative,na,na,na,literature_search_zero_hits,PubMed+EuropePMC+Crossref+中文库,"检索式:Suxiao Jiuxin expired stability toxicity;速效救心丸 过期 毒性 中毒",2026-08-11,no_evidence_found,对本品的毒理学研究/ADR监测记录/可定位病例报告零命中;仅有机制推断(冰片挥发);按命题A判定条件判为未检索到超效期毒性证据;历史过期四环素致毒个案(DOI:10.1001/jama.1963.03700160149097等)为特定品种特例不得外推
RQ14-S02,速效救心丸(含冰片滴丸),超效期含量/效价实测 (potency assay),literature_negative,na,na,na,literature_search_zero_hits,PubMed+EuropePMC+Crossref+中文库,"检索式:速效救心丸 含量 稳定性 有效期;Suxiao Jiuxin Wan expiry stability",2026-08-11,no_evidence_found,未检索到本品超效期样品的含量/效价/微生物/挥发性损失实测数据;仅有效期内冰片含量测定方法学文献(董艳辉2011 GDHG201108072;付滢舟2012)与冰片原料稳定性实验(张真真2014)可定位
RQ14-S03,口服固体制剂(一般),超效期后效价保留 (potency retention),literature_positive,na,na,na,abstract,PMID:16721796,"SLEP FDA-DoD 122品种3005批次",2026-08-11,reference_only,88%批次延展≥1年平均66个月;效期设置保守;附加稳定期逐批差异大;实测数据
RQ14-S04,口服固体制剂(一般),超效期后效价保留 (potency retention),literature_positive,na,na,na,abstract,PMID:30660807,"超效期稳定性系统评价",2026-08-11,reference_only,相当比例药品超效期仍稳定;效期常保守设置;系统评价层级
RQ14-S05,纳洛酮(对照),超效期化学稳定性 (chemical stability),literature_positive,na,"102.8±2.6%与106.0±1.3% (USP 90-110%限内)",na,abstract,PMID:35238012,"纳洛酮鼻喷/注射剂超效期6-19个月",2026-08-11,reference_only,超效期10/19个月效价在USP限内且未检出降解杂质2，2′-bisnaloxone(降解二聚体);对照性实测证据
RQ14-S06,布洛芬/双氯芬酸/吡罗昔康(对照),超效期效价与效能 (potency+efficacy),literature_positive,na,活性成分在IP限内,na,abstract,PMID:36147412,"镇痛药效期后2年每6个月测定",2026-08-11,reference_only,活性成分2年超效期均在印度药典限内;热板/扭体模型效能无显著差异;布洛芬/双氯芬酸溶出时间轻度差异;对照性实测证据
RQ14-S07,环丙沙星/诺氟沙星(对照),超效期质量 (quality),literature_positive,na,7/7通过含量与鉴定;1/7溶出不合格,na,abstract,DOI:10.3389/fmed.2024.1420146,"过期氟喹诺酮质量评价(埃塞俄比亚)",2026-08-11,reference_only,含量与鉴定全过、溶出个别不合格;对照性实测证据
RQ14-S08,过期急救药(沙丁胺醇/阿司匹林/肾上腺素/纳洛酮),超效期效价 (potency),literature_positive,na,沙丁胺醇98%活性20-30年;阿司匹林至多40年;肾上腺素≥36月;纳洛酮≥19月,na,abstract,PMID:41142213,"过期急救药物系统检索叙述综述17项研究",2026-08-11,reference_only,有害降解产物证据极少;系统检索层级;对照性证据
RQ14-S09,过期四环素(历史特例),超效期致毒 (Fanconi综合征),literature_positive,na,na,na,abstract,DOI:10.1001/jama.1963.03700160149097；DOI:10.1001/jama.1963.03700150065010；DOI:10.7326/0003-4819-58-3-523；DOI:10.1056/nejm196505132721902,JAMA 1963x2/Ann Intern Med 1963/NEJM 1965过期四环素个案,2026-08-11,reference_only,过期(降解)四环素致获得性Fanconi综合征系列个案;证明个别品种超效期降解产物可致人体损害;不得外推至本品;PMID:15113987综述亦列outdated tetracycline为主要RTA来源
RQ14-S10,速效救心丸,过期禁止服用 (legal basis),regulatory_support,na,na,na,regulatory_record,药品管理法(2019修订)第98条第1、3款(经公报记录DOI:10.14218/mrp.2019.082与立法审议报告锚定；官方现行文本须核验),全国人大常委会公报2019/医学研究与发表2019,2026-08-11,supported,超过有效期的药品为劣药(第98条第3款第5项);禁止生产销售使用(第98条第1款);依据为法规定性+质量不可保证而非已证实毒性;以会中毒为理由判内容不正确
