claimId,referenceNumber,sourceTitle,identifier,accessLevel,supportQuote
CLM-001,3,Chest pain - NHS,NHS Chest pain (page last reviewed 08 August 2023),official_page,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back … you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-002,3,Chest pain - NHS,NHS Chest pain (page last reviewed 08 August 2023),official_page,"In most cases, chest pain is not caused by a heart problem."
CLM-003,3,Chest pain - NHS,NHS Chest pain (page last reviewed 08 August 2023),official_page,Do not self-diagnose – see a GP if you're worried.
CLM-004,4,Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis,doi:10.3325/cmj.2012.53.432 / PMID:23100205 / PMC3490454,full_text,"We included 172 studies providing data on the diagnostic value of 42 symptoms and signs. … Not surprisingly, none of these clinical findings showed in isolation a sufficient diagnostic accuracy for safely ruling in or ruling out myocardial ischemia in patients presenting with chest pain."
CLM-005,4,Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis,doi:10.3325/cmj.2012.53.432 / PMID:23100205 / PMC3490454,full_text,"diagnostically most useful tests were history of CHD (pLR = 3.59), known MI (pLR = 3.21), typical angina (pLR = 2.35), history of diabetes mellitus (pLR = 2.16), exertional pain (pLR = 2.13) … pain radiation to right arm/shoulder (pLR = 4.43)"
CLM-006,4,Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis,doi:10.3325/cmj.2012.53.432 / PMID:23100205 / PMC3490454,full_text,"pain reproducible by palpation (pLR = 0.13) for predicting MCE … pain related to breathing might be helpful for ruling out myocardial ischemia, with pLR ranging from 0.20 to 0.36 … pain reproducible by palpation might be helpful for ruling out myocardial ischemia, with pLR ranging from 0.13 to 0.41"
CLM-007,4,Does the patient with chest pain have a coronary heart disease? Diagnostic value of single symptoms and signs – a meta-analysis,doi:10.3325/cmj.2012.53.432 / PMID:23100205 / PMC3490454,full_text,"The prevalence of CHD with respect to the case definition of CHD ranged from 8.1 to 79.7% (ACS), from 3.8 to 88.0 (MI), from 16.7 to 89.9 (stable CHD), and from 2.8 to 34.1% (MCE)."
CLM-008,5,Utility of the History and Physical Examination in the Detection of Acute Coronary Syndromes in Emergency Department Patients,doi:10.5811/westjem.2017.3.32666 / PMID:28611898 / PMC5468083,full_text,"The history and physical alone are unable to reduce a patient’s risk of ACS to a generally acceptable level (<1%). … our review of the evidence clearly demonstrates that “atypical” symptoms cannot rule out ACS, while “typical” symptoms cannot rule it in."
CLM-009,5,Utility of the History and Physical Examination in the Detection of Acute Coronary Syndromes in Emergency Department Patients,doi:10.5811/westjem.2017.3.32666 / PMID:28611898 / PMC5468083,full_text,"Goodacre et al. prospectively enrolled 893 patients presenting with chest pain … AMI was most closely associated with chest pain that radiated to the shoulder (odds ratio [OR]=5.7, 95% confidence interval [CI] [1.5–21.4], p=0.009), radiated to both arms (OR=4.9, 95% CI [1.3–19.4], p=0.02), or was exacerbated with exertion (OR=3.3, 95% CI [1.3–8.4], p=0.014) … the presence of chest wall tenderness decreased the likelihood of AMI (OR=0.2, 95% CI [0.05–0.97], p=0.045)."
CLM-010,5,Utility of the History and Physical Examination in the Detection of Acute Coronary Syndromes in Emergency Department Patients,doi:10.5811/westjem.2017.3.32666 / PMID:28611898 / PMC5468083,full_text,"the features that best predicted AMI were right arm or shoulder pain (LR+=4.7, 95% CI: 1.9–12), an S3 gallop (LR+=3.2, 95% CI [1.6–6.5]), and either a history (LR+=2.1, 95% CI [1.8–2.5]) or a finding of diaphoresis (LR+=2.9, 95% CI [1.3–6.6]) … The factors that decreased the likelihood of AMI were a normal ECG (LR+=0.2; 95% CI [0.1–0.3]) and reproducible chest wall tenderness (LR+=0.3; 95% CI [0.2–0.4]). Chest pain that was pleuritic (LR+=0.2; 95% CI [0.2–0.3]), sharp (LR = 0.3; 95% CI [0.2–0.5]), or positional (LR = 0.3; 95% CI [0.2–0.5]) also lowered the likelihood of AMI."
