claimId,referenceNumber,sourceTitle,identifier,accessLevel,supportQuote
CLM-001,1,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",PMID:17320010,full_text,"270 patients were enrolled. Nitroglycerin relieved chest pain in 66% of the subjects. The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%) … was 1.1 (0.96–1.34)."
CLM-002,1,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",PMID:17320010,full_text,Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.
CLM-003,1,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac chest pain?",PMID:17320010,full_text,This study corroborates recent work done by Shry and colleagues … Henrikson and coworkers … and Diercks and associates … (Table 2).
CLM-004,3,Chest pain - NHS,official-page:e6143b76645a9461,official_page,"you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-005,3,Chest pain - NHS,official-page:e6143b76645a9461,official_page,"Chest pain has many different causes. In most cases, chest pain is not caused by a heart problem. … Do not self-diagnose – see a GP if you're worried."
CLM-006,4,Pre hospital delay and its associated factors in acute myocardial infarction in a developing country,PMID:34818360,full_text,De Luca and associates showed 1 year mortality risk increased by 7.5% for each 30-minute delay in primary percutaneous coronary intervention (PCI)
CLM-007,4,Pre hospital delay and its associated factors in acute myocardial infarction in a developing country,PMID:34818360,full_text,"proportional mortality reduction being significantly greater in patients treated within 2 h compared to those treated later (44% [95% CI 32, 53] vs 20% [ 15 , 25 ]; p = 0.001)"
CLM-008,5,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",PMID:34770988,full_text,"Lowered alcohol tolerance due to the accumulation of acetaldehyde is seen in around 40% of the East Asian population … a common mutation in the ALDH2 gene, involving a guanine to adenine polymorphism in exon 12 on chromosome 12 … the same mutant form of ALDH2 is also referred to as (Glu504Lys)"
CLM-009,5,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",PMID:34770988,full_text,a drop to negligible levels is seen in Lys504 homozygotes (ALDH2*2/2) and only an uptick to 6% of normal activity is seen in Glu504/Lys504 heterozygotes (ALDH2*1/2)
CLM-010,5,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",PMID:34770988,full_text,a 10-fold drop in GTN metabolism when using the Lys504 enzyme in place of the ALDH2 wild type
