pmid,title,year,journal,authors,institutions,countries,keywords,doi
28721057,"Safety, tolerability, and risks associated with first- and second-generation antipsychotics: a state-of-the-art clinical review.",2017,Therapeutics and clinical risk management,Solmi Marco; Murru Andrea; Pacchiarotti Isabella; Undurraga Juan; Veronese Nicola; Fornaro Michele; Stubbs Brendon; Monaco Francesco; Vieta Eduard; Seeman Mary V; Correll Christoph U; Carvalho André F,"Hofstra Northwell School of Medicine; Institute of Medical Science; Institute of Psychiatry; New York State Psychiatric Institute; Anglia Ruskin University; Institute for Clinical Research and Education in Medicine; University ""Federico II""; University of Padua; Zucker Hillside Hospital; National Health Service; Federal University of Ceará; Horwitz Psychiatric Institute; Institute of Neuroscience",United States; Canada; United Kingdom; Italy; Brazil; Spain,Antipsychotics; psychiatry; psychosis; safety; side effects; tolerability,10.2147/TCRM.S117321
26896788,Clinically significant pharmacokinetic drug interactions of antiepileptic drugs with new antidepressants and new antipsychotics.,2016,Pharmacological research,Spina Edoardo; Pisani Francesco; de Leon Jose,University of Kentucky Mental Health Research Center at Eastern State Hospital; University of Messina,United States; Italy,Antidepressants; Antiepileptics; Antipsychotics; Drug Interactions; Pharmacodynamics; pharmacokinetics; Anticonvulsants; therapeutic use; Antidepressive Agents; Antipsychotic Agents,10.1016/j.phrs.2016.02.014
26406773,Estimating the Impact of Adherence to and Persistence with Atypical Antipsychotic Therapy on Health Care Costs and Risk of Hospitalization.,2015,Pharmacotherapy,Jiang Yawen; Ni Weiyi,University of Southern California,,"adherence; antipsychotic; persistence; utilization; Antipsychotic Agents; administration & dosage; economics; therapeutic use; Bipolar Disorder; drug therapy; Databases, Factual; Health Care Costs; Hospitalization; statistics & numerical data; Schizophrenia; Drug Monitoring",10.1002/phar.1634
26384040,Simple and Accurate Quantitative Analysis of 16 Antipsychotics and Antidepressants in Human Plasma by Ultrafast High-Performance Liquid Chromatography/Tandem Mass Spectrometry.,2015,Therapeutic drug monitoring,Wang Jingjing; Huang Hua; Yao Qin; Lu Yang; Zheng Qiaoling; Cheng Yuqi; Xu Xiufeng; Zhou Qiong; Wu Di; Zhang Min; Li Xiaosu; Zhang Jun,the First Affiliated Hospital of Kunming Medical University,China,"Antidepressive Agents; blood; Antipsychotic Agents; Chromatography, High Pressure Liquid; methods; Drug Monitoring; Tandem Mass Spectrometry",10.1097/FTD.0000000000000197
25400109,Weight gain and antipsychotics: a drug safety review.,2015,Expert opinion on drug safety,Musil Richard; Obermeier Michael; Russ Paul; Hamerle Michael,Ludwig-Maximilians-University Munich,Germany,Amisulpride; Aripiprazole; asenapine; Clozapine; first-generation antipsychotic agents; haloperidol; iloperidone; lurasidone; Olanzapine; paliperidone; quetiapine; Risperidone; second-generation antipsychotic agents; sertindole; Weight Gain; ziprasidone; Antipsychotic Agents; adverse effects; Body Mass Index; drug effects,10.1517/14740338.2015.974549
25365434,Antipsychotic drugs and safety concerns for breast-feeding infants.,2014,Southern medical journal,Parikh Tapan; Goyal Dharmendra; Scarff Jonathan R; Lippmann Steven,From the Rogosin Institute,,"Antipsychotic Agents; adverse effects; metabolism; pharmacology; Breast Feeding; Milk, Human; drug effects",10.14423/SMJ.0000000000000190
25132670,The use of dried blood spots for quantification of 15 antipsychotics and 7 metabolites with ultra-high performance liquid chromatography - tandem mass spectrometry.,2015,Drug testing and analysis,Patteet Lisbeth; Maudens Kristof E; Stove Christophe P; Lambert Willy E; Morrens Manuel; Sabbe Bernard; Neels Hugo,University of Antwerp; Laboratory of Toxicology; Toxicological Centre; Laboratory for TDM and Toxicology,Belgium,"UHPLC-MS/MS; Antipsychotics; dried blood spots; therapeutic drug monitoring; Antipsychotic Agents; blood; Chromatography, High Pressure Liquid; Dried Blood Spot Testing; Drug Monitoring; methods; Tandem Mass Spectrometry",10.1002/dta.1698
26417330,Clinical pharmacology of atypical antipsychotics: an update.,2014,EXCLI journal,Mauri M C; Paletta S; Maffini M; Colasanti A; Dragogna F; Di Pace C; Altamura A C,University of Milan; Institute of Psychiatry,Italy; United Kingdom,,
24291056,High throughput identification and quantification of 16 antipsychotics and 8 major metabolites in serum using ultra-high performance liquid chromatography-tandem mass spectrometry.,2014,Clinica chimica acta; international journal of clinical chemistry,Patteet Lisbeth; Maudens Kristof E; Sabbe Bernard; Morrens Manuel; De Doncker Mireille; Neels Hugo,Toxicological Centre; University of Antwerp; Laboratory for TDM and Toxicology,Belgium,"7-hydroxy-N-desalkyl-quetiapine; 7-hydroxy-quetiapine; 7OH-NDA-QUE; 7OH-QUE; AGNP; AMI; AP; ARI; ASE; Antipsychotics; Arbeidsgemeinschaft für Neuropsychopharmakologie und Pharmakopsychiatrie; BRO; CI; CLO; DARI; EMA; ER; ESI; European Medicines Agency; FDA; Food and Drug Administration; HAL; HILO; ILO; LC; LC–MS/MS; LLE; LLOQ; LSUL; LUR; ME; MRM; MS; MTBE; Mass spectrometry; N-demethyl-clozapine; N-demethyl-olanzapine; NDM-CLO; NDM-OLA; Neuroleptics; OLA; PAL; PIP; QC; QUE; RHAL; RIS; RT; SER; SIL-IS; therapeutic drug monitoring; UHPLC–MS/MS; ZUC; Amisulpride; Aripiprazole; asenapine; bromperidol; Clozapine; confidence interval; dehydro-aripiprazole; electrospray ionization; extraction recovery; haloperidol; hydroxy-iloperidone; iloperidone; levosulpiride; liquid chromatography; liquid chromatography–tandem mass spectrometry; liquid–liquid extraction; lower limit of quantification; lurasidone; matrix effects; methyl tert-butyl ether; multiple-reaction monitoring; Olanzapine; paliperidone; pipamperone; Quality Control; quetiapine; reduced haloperidol; retention time; Risperidone; sertindole; stable isotope labeled internal standard; ultra-high performance liquid chromatography–tandem mass spectrometry; zuclopenthixol; Antipsychotic Agents; blood; isolation & purification; metabolism; Blood Chemical Analysis; methods; Chromatography, High Pressure Liquid; Liquid-Liquid Extraction; Reproducibility of Results; Tandem Mass Spectrometry",10.1016/j.cca.2013.11.024
24249315,Quetiapine versus other atypical antipsychotics for schizophrenia.,2013,The Cochrane database of systematic reviews,Asmal Laila; Flegar Srnka J; Wang Jikun; Rummel-Kluge Christine; Komossa Katja; Leucht Stefan,University of Stellenbosch,South Africa,Antipsychotic Agents; adverse effects; therapeutic use; Benzodiazepines; Clozapine; Dibenzothiazepines; Olanzapine; Piperazines; Quetiapine Fumarate; Risperidone; Schizophrenia; drug therapy; Thiazoles; Drug Monitoring,10.1002/14651858.CD006625.pub3
23664462,Plasma levels of second-generation antipsychotics and clinical response in acute psychosis: a review of the literature.,2013,Schizophrenia research,Lopez Leonardo V; Kane John M,The Zucker Hillside Hospital,United States,"Antipsychotic Agents; blood; therapeutic use; Databases, Bibliographic; statistics & numerical data; Psychotic Disorders; drug therapy",10.1016/j.schres.2013.04.002
23588704,Safety and pharmacokinetics of atypical antipsychotics in children and adolescents.,2013,Paediatric drugs,Caccia Silvio,,Italy,Aggression; drug effects; Antipsychotic Agents; adverse effects; pharmacokinetics; therapeutic use; Cardiovascular Diseases; chemically induced; Drug Interactions; Schizophrenia; drug therapy; Weight Gain,10.1007/s40272-013-0024-6
23477803,"LC-MS/MS of some atypical antipsychotics in human plasma, serum, oral fluid and haemolysed whole blood.",2013,Forensic science international,Fisher Danielle S; Partridge Suzanne J; Handley Simon A; Couchman Lewis; Morgan Phillip E; Flanagan Robert J,National Health Service,United Kingdom,"Amisulpride; Antipsychotic Agents; analysis; Aripiprazole; Benzodiazepines; Chromatography, Liquid; Clozapine; analogs & derivatives; Dibenzothiazepines; Forensic Toxicology; methods; Hemolysis; Isoxazoles; Olanzapine; Paliperidone Palmitate; Piperazines; Pyrimidines; Quetiapine Fumarate; Quinolones; Reproducibility of Results; Risperidone; Saliva; chemistry; Serum; Sulpiride; Tandem Mass Spectrometry",10.1016/j.forsciint.2013.02.010
23234587,Rhabdomyolysis reported for children and adolescents treated with antipsychotic medicines: a case series analysis.,2012,Journal of child and adolescent psychopharmacology,Star Kristina; Iessa Noha; Almandil Noor B; Wilton Lynda; Curran Sarah; Edwards I Ralph; Wong Ian C K,World Health Organization,Sweden,"Antipsychotic Agents; administration & dosage; adverse effects; therapeutic use; Databases, Factual; Dose-Response Relationship, Drug; Drug Monitoring; methods; Research Design; Rhabdomyolysis; chemically induced; epidemiology; physiopathology",10.1089/cap.2011.0134
23149440,Therapeutic drug monitoring of common antipsychotics.,2012,Therapeutic drug monitoring,Patteet Lisbeth; Morrens Manuel; Maudens Kristof E; Niemegeers Peter; Sabbe Bernard; Neels Hugo,Toxicological Centre,Belgium,Antipsychotic Agents; adverse effects; pharmacokinetics; pharmacology; therapeutic use; Drug Interactions; Drug Monitoring,10.1097/FTD.0b013e3182708ec5.
22913904,Weight gain and glucose dysregulation with second-generation antipsychotics and antidepressants: a review for primary care physicians.,2012,Postgraduate medicine,Hasnain Mehrul; Vieweg W Victor R; Hollett Bruce,Memorial University,Canada,"Antidepressive Agents, Second-Generation; adverse effects; Antipsychotic Agents; Blood Glucose; drug effects; Glucose Metabolism Disorders; chemically induced; Obesity; etiology; Physicians, Primary Care; Risk; Weight Gain",10.3810/pgm.2012.07.2577
22784311,Summary of the comparative effectiveness review on off-label use of atypical antipsychotics.,2012,Journal of managed care pharmacy : JMCP,Maher Alicia R; Theodore George,"University of California, Los Angeles",United States,Antipsychotic Agents; adverse effects; therapeutic use; Off-Label Use; United States Food and Drug Administration,10.18553/jmcp.2012.18.s5-b.1
19084370,Practical guidelines for the use of new generation antipsychotic drugs (except clozapine) in adult individuals with intellectual disabilities.,2009,Research in developmental disabilities,de Leon Jose; Greenlee Brian; Barber Jack; Sabaawi Mohamed; Singh Nirbhay N,University of Kentucky Mental Health Research Center,United States,Antipsychotic Agents; therapeutic use; Clozapine; Drug Evaluation; Evidence-Based Medicine; Intellectual Disability; drug therapy; Persons with Intellectual Disabilities; Practice Guidelines as Topic; Psychotic Disorders,10.1016/j.ridd.2008.10.010
